ISIN,FISN,CFI,DTI,Linked DTI(s),DTI Long Name,DTI Short Name,DTI Status,Type,Added Date,Amended Date
XTKBVXWMM945,AFREUM HRK/AHRK,TMXXXX,KBVXWMM94,M7MD3JKNS,AFREUM HRK,AHRK,Provisional,Referential Instrument,2/14/25,2/14/25
XTF1DX8C2N51,AFREUM HNL/AHNL,TMXXXX,F1DX8C2N5,S7KWCDTFT,AFREUM HNL,AHNL,Provisional,Referential Instrument,2/14/25,2/14/25
XTZHH71TV710,AFREUM GYD/AGYD,TMXXXX,ZHH71TV71,R85C5SFP7,AFREUM GYD,AGYD,Provisional,Referential Instrument,2/14/25,2/14/25
XTWQ2JRZDT21,AFREUM GTQ/AGTQ,TMXXXX,WQ2JRZDT2,TRC6P8BJ8,AFREUM GTQ,AGTQ,Provisional,Referential Instrument,2/14/25,2/14/25
XTCH627V7J44,AFREUM GIP/AGIP,TMXXXX,CH627V7J4,JHTSDGP4V,AFREUM GIP,AGIP,Provisional,Referential Instrument,2/14/25,2/14/25
XTSQK4RG5B88,AFREUM GEL/AGEL,TMXXXX,SQK4RG5B8,V27S314VQ,AFREUM GEL,AGEL,Provisional,Referential Instrument,2/14/25,2/14/25
XTNLWNHXXZN7,AFREUM FKP/AFKP,TMXXXX,NLWNHXXZN,Z506F8FCP,AFREUM FKP,AFKP,Provisional,Referential Instrument,2/14/25,2/14/25
XTLZ54V3QDL8,AFREUM FJD/AFJD,TMXXXX,LZ54V3QDL,W508F2SJ4,AFREUM FJD,AFJD,Provisional,Referential Instrument,2/14/25,2/14/25
XTXQLMZPZH32,AFREUM DOP/ADOP,TMXXXX,XQLMZPZH3,7HK3RP772,AFREUM DOP,ADOP,Provisional,Referential Instrument,2/14/25,2/14/25
XT236ZSBS7L9,AFREUM DKK/ADKK,TMXXXX,236ZSBS7L,BFJ5HHBGK,AFREUM DKK,ADKK,Provisional,Referential Instrument,2/14/25,2/14/25
XTKMHKLSS242,AFREUM CZK/ACZK,TMXXXX,KMHKLSS24,GNDDSWKVB,AFREUM CZK,ACZK,Provisional,Referential Instrument,2/14/25,2/14/25
XTD3RBVMB482,AFREUM CUP/ACUP,TMXXXX,D3RBVMB48,VZCXR9VP5,AFREUM CUP,ACUP,Provisional,Referential Instrument,2/14/25,2/14/25
XTHT83D2BVX0,AFREUM CRC/ACRC,TMXXXX,HT83D2BVX,BJDTGB94T,AFREUM CRC,ACRC,Provisional,Referential Instrument,2/14/25,2/14/25
XTFBPQ8L0F01,AFREUM COP/ACOP,TMXXXX,FBPQ8L0F0,HKWN2W8BB,AFREUM COP,ACOP,Provisional,Referential Instrument,2/14/25,2/14/25
XT4XD2H2TV18,AFREUM CLP/ACLP,TMXXXX,4XD2H2TV1,PXSD2D57B,AFREUM CLP,ACLP,Provisional,Referential Instrument,2/14/25,2/14/25
XTMZ2XSFTHB7,AFREUM CHF/ACHF,TMXXXX,MZ2XSFTHB,3JKNVJZ38,AFREUM CHF,ACHF,Provisional,Referential Instrument,2/14/25,2/14/25
XT695D5R5W38,AFREUM CAD/ACAD,TMXXXX,695D5R5W3,TJ3JW9MSS,AFREUM CAD,ACAD,Provisional,Referential Instrument,2/14/25,2/14/25
XTWWNNG0G8X2,AFREUM BZD/ABZD,TMXXXX,WWNNG0G8X,Q8PG1VP4V,AFREUM BZD,ABZD,Provisional,Referential Instrument,2/14/25,2/14/25
XTZV5BJVZ7V4,AFREUM BYN/ABYN,TMXXXX,ZV5BJVZ7V,R231XLGMM,AFREUM BYN,ABYN,Provisional,Referential Instrument,2/14/25,2/14/25
XTKXKLCR28H6,AFREUM BTN/ABTN,TMXXXX,KXKLCR28H,WKZB29MBZ,AFREUM BTN,ABTN,Provisional,Referential Instrument,2/14/25,2/14/25
XT7RCX5JV2Z1,AFREUM BSD/ABSD,TMXXXX,7RCX5JV2Z,MZ9J70K22,AFREUM BSD,ABSD,Provisional,Referential Instrument,2/14/25,2/14/25
XT6KSW0B5BT9,AFREUM BRL/ABRL,TMXXXX,6KSW0B5BT,HHQKBGG5C,AFREUM BRL,ABRL,Provisional,Referential Instrument,2/14/25,2/14/25
XTCVL3C2H7V0,AFREUM BOB/ABOB,TMXXXX,CVL3C2H7V,N47CZFR5B,AFREUM BOB,ABOB,Provisional,Referential Instrument,2/14/25,2/14/25
XTLVL8S0CLF6,AFREUM BND/ABND,TMXXXX,LVL8S0CLF,HTNP7JDH6,AFREUM BND,ABND,Provisional,Referential Instrument,2/14/25,2/14/25
XTKFFC4DFJQ4,AFREUM BMD/ABMD,TMXXXX,KFFC4DFJQ,HBFLG5WP5,AFREUM BMD,ABMD,Provisional,Referential Instrument,2/14/25,2/14/25
XT2D5NPCQWH8,AFREUM BHD/ABHD,TMXXXX,2D5NPCQWH,GVPKZC9M6,AFREUM BHD,ABHD,Provisional,Referential Instrument,2/14/25,2/14/25
XTP8ZFVG2QN9,AFREUM BGN/ABGN,TMXXXX,P8ZFVG2QN,FSSDHV1GM,AFREUM BGN,ABGN,Provisional,Referential Instrument,2/14/25,2/14/25
